text,intent
как настроение как самочувствие,how_are_you
текущее время покажи,time
расскажи о своих функциях,help
разделить 100 на 5,division
доброго здоровья,greeting
дождь сегодня,weather
произведение чисел,multiplication
как настроение сегодня,how_are_you
посчитать 12 умножить на 3,multiplication
который час в питере,time
уменьшить на 2,subtraction
нужен ли сегодня зонт,weather
нужна помощь,help
называйте меня,set_name
что можешь,help
как ты поживаешь,how_are_you
как жизнь как здоровье,how_are_you
твои возможности,help
порывы ветра,weather
как жизнь,how_are_you
добрый день всем,greeting
время московское,time
инструкция,help
время на часах,time
прибавь 5,addition
называйте меня кирилл,set_name
метель ожидается,weather
как жить будешь,how_are_you
3+5,addition
сложи числа 2 и 3,addition
20 / 4,division
сколько время,time
пока пока пока,farewell
хай,greeting
что можно сделать,help
всего хорошего тебе,farewell
пока пока,farewell
умножить на 3,multiplication
мое имя павел,set_name
хелло,greeting
доброе утро,greeting
на улице тепло,weather
подскажи,help
который час сейчас в москве,time
сколько получится если 30 минус 15,subtraction
брать зонт или нет,weather
какая погода,weather
10 плюс 15,addition
здрасти,greeting
добавь 3,addition
найти разность 20 и 5,subtraction
который час сейчас,time
поделить пополам,division
сложить числа,addition
как настроение вообще,how_are_you
добрый день как жизнь,greeting
приветик как ты,greeting
меня зовут александр,set_name
подели,division
зовите меня,set_name
как ты,how_are_you
добавить,addition
меня зовут ольга,set_name
вычитание,subtraction
меня можно называть,set_name
как делишки,how_are_you
что за бот,help
как жизнь твоя,how_are_you
прогноз на послезавтра,weather
что ты умеешь,help
как делишки твои,how_are_you
туман сегодня,weather
как настроение,how_are_you
какая погода на выходные,weather
мое имя дмитрий,set_name
здравствуйте люди,greeting
приветствую тебя,greeting
прогноз в токио,weather
меня зовут,set_name
сколько времени в москве,time
сколько получится если 6 умножить на 7,multiplication
как оно,how_are_you
часы покажи,time
увидимся,farewell
сколько минут,time
который сейчас час,time
нужен ли зонт,weather
добавить 7 к 12,addition
найти разность,subtraction
расскажи о своих возможностях,help
20/5,division
зонт нужен,weather
как себя чувствуешь,how_are_you
разделить на 2,division
здравия желаю,greeting
произведение 20 и 5,multiplication
сколько сейчас времени,time
умножить 15 на 4,multiplication
ну все пока,farewell
сложение,addition
отнять 7 от 20,subtraction
как жизнь вообще,how_are_you
увидимся скоро,farewell
разность,subtraction
приветствую всех,greeting
100+200,addition
жарко сегодня,weather
на улице жарко,weather
какая сегодня погода,weather
расскажи о себе,help
прогноз погоды на завтра,weather
нужно ли брать зонт в москве,weather
пока,farewell
какие у тебя функции,help
как поживаешь как дела,how_are_you
время дня,time
точное время,time
какая завтра погода,weather
что ты можешь сделать,help
до встречи,farewell
добрый вечер,greeting
как настроение у тебя,how_are_you
возможно нужен зонт,weather
привет как дела,greeting
вычти,subtraction
сложить 4 и 5,addition
пока удачи,farewell
называйте меня андрей,set_name
как дела,how_are_you
меня зовут виктор,set_name
сумма чисел,addition
прогноз погоды,weather
зонт пригодится,weather
всего наилучшего,farewell
что слышно нового,how_are_you
всего доброго,farewell
меня зовут иван,set_name
называйте меня петр,set_name
сложи,addition
который час по москве,time
дождь пойдет,weather
как поживает,how_are_you
произведение,multiplication
увеличить 8 на 3,addition
как у тебя жизнь,how_are_you
всем привет,greeting
сколько сейчас часов,time
возьму ли я зонт,weather
приветики,greeting
холодно сегодня,weather
град будет,weather
bye,farewell
пока удачи тебе,farewell
брать ли зонт,weather
здравствуй,greeting
я владимир,set_name
10/2,division
прибавить 15 к 25,addition
жарко на улице,weather
как сам,how_are_you
увидимся позже,farewell
до скорой встречи,farewell
hello,greeting
5*5,multiplication
доброго времени суток,greeting
мое имя алексей,set_name
минус,subtraction
как твои дела,how_are_you
можно называть алексей,set_name
ветрено сегодня,weather
я антон,set_name
плюс,addition
что ты умеешь делать расскажи,help
твой функционал,help
сколько времени сейчас,time
шторм ожидается,weather
ливень ожидается,weather
добрый день товарищи,greeting
привет как жизнь,greeting
прощаюсь,farewell
сумма 10 и 20,addition
доброго дня,greeting
на улице холодно,weather
приветствую вас,greeting
найти произведение 4 и 5,multiplication
брать с собой зонт,weather
солнечно ли,weather
бывай,farewell
меня зовут валентина,set_name
сколько градусов на улице,weather
посчитать 8 плюс 9,addition
московское время,time
сколько будет 20 минус 8,subtraction
список команд,help
100-50,subtraction
ветрено на улице,weather
чем можешь помочь,help
мое имя мария,set_name
холодно в париже,weather
как самочувствие сегодня,how_are_you
приветик,greeting
вычисли сумму,addition
как вообще,how_are_you
привет,greeting
сколько времени,time
до свидания,farewell
как у тебя дела,how_are_you
какая сумма у 3 и 8,addition
что нового скажешь,how_are_you
погода в москве,weather
как ты вообще,how_are_you
салют,greeting
мое имя николай,set_name
зовите меня дмитрий,set_name
текущее время,time
что слышно,how_are_you
погода на послезавтра,weather
15 - 7,subtraction
как у тебя настроение,how_are_you
который час дня,time
удачи,farewell
можно называть,set_name
надо брать зонт,weather
до скорого,farewell
здорово привет,greeting
найти сумму 5 и 7,addition
как твои дела что нового,how_are_you
до завтра,farewell
3*7,multiplication
разделить 60 на 12,division
вычислить 50-30,subtraction
расскажи,help
мое имя,set_name
зовите меня игорь,set_name
привет всем кто тут,greeting
скажи время,time
что на улице,weather
какие команды,help
2+2,addition
ветер сильный,weather
будет дождь,weather
7 + 2,addition
всего,farewell
часы покажи,time
что нового,how_are_you
поделить 15 на 3,division
2 плюс 3,addition
погода в казани,weather
инструкция по применению,help
доброго вечера,greeting
зовут меня,set_name
всего хорошего,farewell
на улице мороз,weather
как дела у тебя,how_are_you
что ты умеешь делать,help
умножение чисел,multiplication
сколько будет 8 плюс 7,addition
я мария,set_name
какой сейчас час,time
умножь,multiplication
скажи точное время,time
деление,division
8 увеличить на 5,addition
see you,farewell
прохладно сегодня,weather
идет ли снег,weather
меня зовут ирина,set_name
погода на выходные,weather
умножить на 2,multiplication
погода на неделю,weather
влажно,weather
покедова,farewell
меня зовут анастасия,set_name
текущее время суток,time
тепло в риме,weather
помощь,help
как ты как настроение,how_are_you
как пользоваться,help
какие команды есть,help
сколько часов,time
как твои успехи,how_are_you
часы,time
20-5,subtraction
умножить 6 на 7,multiplication
список возможностей,help
отнять 3 от 10,subtraction
какая погода завтра,weather
вычислить 20+30,addition
что с погодой,weather
местное время,time
покажи время,time
гроза будет,weather
как жизнь вообще,how_are_you
морозно,weather
который час в москве,time
привет дружище,greeting
до новых встреч,farewell
зовите меня наталья,set_name
как настроение как дела,how_are_you
ладно пока,farewell
5 минус 2,subtraction
расскажи о себе подробнее,help
10-3,subtraction
какой прогноз на завтра,weather
сыро на улице,weather
какая температура,weather
как самочувствие сегодня,how_are_you
бывай пока,farewell
подскажи как работать,help
как жизнь молодая,how_are_you
пока прощай,farewell
сколько градусов,weather
как успехи,how_are_you
зовите меня геннадий,set_name
прощайте,farewell
покажи что умеешь,help
бай,farewell
представьтесь,set_name
погода в лондоне,weather
как тобой пользоваться,help
отними 10,subtraction
снег будет,weather
как работать,help
меня зовут екатерина,set_name
увидимся завтра,farewell
вычислить 40/8,division
помножить,multiplication
100/25,division
5 плюс 2,addition
запомни имя,set_name
будь здоров,farewell
тепло ли,weather
вычесть 3 из 10,subtraction
как дела сегодня,how_are_you
посчитать 40-25,subtraction
меня зовут татьяна,set_name
функции бота,help
который час покажи,time
посчитать 50 разделить на 10,division
текущий час,time
зовут анна,set_name
здравствуйте господа,greeting
10 минус 3,subtraction
здравствуйте дамы и господа,greeting
как тебя использовать,help
найти частное 20 и 4,division
частное,division
как использовать бота,help
до связи,farewell
стоит ли взять зонт,weather
погода сейчас,weather
как самочувствие,how_are_you
какое сейчас время,time
мое имя максим,set_name
какое сегодня время,time
прибавь,addition
доброго утречка,greeting
помоги разобраться,help
пусть меня зовут,set_name
как поживаешь,how_are_you
бывай здоров,farewell
время суток,time
скажи который час,time
до свидания пока,farewell
2 * 8,multiplication
температура в берлине,weather
давай до свидания,farewell
помоги,help
меня зовут михаил,set_name
прохладно на улице,weather
